Compartanos_si_considera_que_otra_razon_distinta_que_quiera_compartir_de_forma_muy_corta,count
nan,553
Informacion.,8
Factura.,3
Cambio de titular en la cuenta.,2
No aparece la cuota del credito en la factura.,1
Compra de calentador a credito,1
"Visita a la casa, para control de un negocio.",1
Suspender el servicio del inmueble ya que se encuentra vacia e inhabitable,1
Planeacion,1
Cambio de titular en la factura,1
Tuvulenta el agua,1
EL PERSONAL DE MENSAJERIA QUE ME ENVIARON FUE MUY AGRESIVO Y ME ROMPIO EL VIDRIO DE LA VITRINA MOSTRADOR DE MI LOCAL,1
SOLICITO UNA NUEVA COMETIDA,1
Informacion,1
"NOS ASIGNARON UNA CUENTA CONTRATO DE OTRO PREDIO EL CUAL LLEVA EL TOTAL DE LA DEUDA 4,451.570 DEUDA QUE NO ME CORRESPONDE",1
EN ESTE MOMENTO NO TENGO DINERO PARA SOLVENTAR ESA DEUDA QUE ME LA DEJO UNA AMIGA TODO POR QUE LE PRESTE MI DIRECCION PARA QUE SACARA UNOS ELECTRODOMESTICOS,1
VENGO A SOLICITAR QUE ME ARREGLEN MI NUMERO DE CEDULA EN EL SISTEMA YA QUE LES QUEDO MAL,1
VENGO A SOLICITAR UNA COMETIDA DEL GAS,1
Pago de un adicional.,1
No me llego el recibo.,1
Por queja de un producto,1
Financiar un producto.,1
Pago de un credito,1
Pago,1
Activar una cuenta.,1
Compra de un calentador.,1
Cambio del nombre de la factura.,1
Solicitar informacion.,1
Informacion por afiliacion.,1
Cambio de sucriptor.,1
